post_id,post_description
1,@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…
2,A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎
3,@user @user real talk do you have eyes or were they gouged out by a rapefugee?
4,your gassirlfriend lookin at me like a groupie in this bitch!
5,Hysterical woman like @user
6,Me flirting- So tell me about your father...
7,"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great..."
8,I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch
9,When cuffin season is finally over
10,"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?"
11,"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes."
12,Only that in you which is me can hear what I'm saying. ~Baba Ram Dass
13,Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome
14,More migrants take sea route to #Spain than Italy this year: UN
15,"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure."
16,"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen"
17,RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this.
18,"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky."
19,listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes
20,@user @user keep calling her a bitch and a whore dude real grown up.
21,"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user"
22,"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops"
23,"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe"
24,An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...
25,@user @user @user @user please spread the word  -&gt;&gt; using frequent flyer miles to reunite immigrant families!
26,"knuckle up cause I'll fight for mines Yo pussy petty, U wasting time .. U seasonal, part time U get fucked up fuckin w/ mine U lil bitch"
27,"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…"
28,@user Not all men are animals. You Libs want muslims to come over still? Better pick a side.
29,"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @user"
30,This bitch whom I won't name on Facebook is such a shameless woman ruining a relationship. #getalife #stopspreadinglies #hoe
31,@user @user Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard
32,Why we need to protect refugees from the ‘˜big ideas’ designed to save them @user @user @user @user @user @user @user
33,Kevin Rosero of the Latino Immigrant Experience Oral History Project #NJHRIC #NewarkPublicLibrary needs help identifying Newark Latino immigrant residents to interview and capture their stories and experiences. MORE INFO:
34,@user Are you pussy grabbing tonight??
35,"Some people really dont understand why I get so upset at injustices happening in this country. Trust me, it's not that I like getting my panties in a wad over dumb things. It's the fact that people like me (minority, brown, immigrant, etc) r suffering and it affects me directly"
36,I've been called a son of a whore and a cunt today already. It's not even 1 yet
37,"Pope Francis: Immigrants Provide ‘˜Enrichment’ to Society, Not ‘˜Threats’"
38,"What were they planning to do with the immigrant children they kidnapped? Slavery, sex traffic, organ harvesting?"
39,masturbate intensive for that whore slut
40,The Truth about #Immigration
41,@user @user Must Make Illegal #Immigration and Over Stays a Felon Pass Mandatory E-Verify for #Jobs and Welfare  #Trump #MAGA #RedNationRising
